id,Code,Industry,Time,Net income,EPS,PRICE,Audit,Opion,Auditdate,Currentassets,Longassets,Totalassets,Liability,Currentliability,Longliability,Equity,Revenues,EV,Cash,Cash1,shortinvestment,Receilvables,Inventory,depreclation,Bookvalue
192,NCT,VT,2005,216796101316,7877,88200,UHY,CNTP,28-02-2024,3.87998E+11,1.6665E+11,5.54648E+11,1.21246E+11,1.10036E+11,11209879500,4.33402E+11,7.01789E+11,2.30782E+12,2.6029E+11,66350582128,63334528363,2700210019,918435000,"2,261,018,270,795",16564
193,NHA,XD,2004,5893045623,140,17050,UHY,CNTP,26-03-2024,1.79358E+11,5.05326E+11,6.84684E+11,2.51675E+11,1.92681E+11,58993806124,4.33009E+11,73133546015,7.19076E+11,,50135527843,49550053250,94278556158,,"837,591,530,315",10267
194,NHH,SX,1972,96243253037,1305,18400,EY,CNTP,29-03-2024,8.3375E+11,1.24288E+12,2.07663E+12,7.03412E+11,6.66287E+11,37125318428,1.37322E+12,2.04096E+12,1.34099E+12,2.00192E+11,2.9494E+11,2.25699E+11,2.33247E+11,5357993671,"1,758,427,635,002",18842
195,NHT,SX,1990,-20399584508,22,11650,VACO,CNTP,25-03-2024,1.74237E+11,4.24977E+11,5.99214E+11,2.1961E+11,1.72221E+11,47389633855,3.79603E+11,3.13281E+11,2.79643E+11,9324463567,44330877956,38316057575,1.00985E+11,40000000,"407,198,004,017",15814
196,NKG,SX,2002,117408565158,446,24650,PWC,CNTP,20-03-2024,9.32264E+12,2.91276E+12,1.22354E+13,6.81233E+12,6.78401E+12,28312735690,5.42307E+12,1.86212E+13,6.4898E+12,2.89614E+11,1.92674E+12,1.74102E+12,5.84903E+12,5500000,"10,471,985,611,599",20598
197,NLG,XD,1992,800477434350,1187,36650,EY,CNTP,15-03-2024,2.53133E+13,3.29788E+12,2.86112E+13,1.50785E+13,9.88645E+12,5.19202E+12,1.35328E+13,3.18142E+12,1.41021E+13,1.05012E+12,3.63717E+12,1.52641E+12,1.74208E+13,13300991868,"17,602,116,147,448",35170
198,NNC,KK,1975,37271844865,1564,19200,AASCS,CNTPGT,4/3/2024,2.29379E+11,2.02055E+11,4.31434E+11,57069357044,53166275251,3903081793,3.74365E+11,1.75941E+11,4.20864E+11,1.05005E+11,23062192315,13617612288,47925456014,3728110856,"389,904,705,241",17079
199,NO1,BB,2011,16909914689,705,11400,TTP,CNTP,15-03-2024,3.20557E+11,1.17911E+11,4.38467E+11,1.29913E+11,1.2303E+11,6882834499,3.08554E+11,6.11497E+11,2.736E+11,96657039267,49242214937,26979482619,1.2742E+11,976696900,"290,288,483,902",12856
200,NSC,SX,1968,230128510222,12657,68100,EY,CNTP,29-03-2024,1.36602E+12,8.55149E+11,2.22116E+12,7.7503E+11,7.42914E+11,32115702452,1.44614E+12,2.20648E+12,1.19682E+12,60000000000,3.78523E+11,2.21735E+11,4.45995E+11,,"1,034,152,905,079",82286
201,NT2,TI,2007,473076742026,1546,24500,Deloitte,CNTP,6/3/2024,4.77023E+12,3.68092E+12,8.45115E+12,4.1153E+12,4.1153E+12,,4.33585E+12,6.38588E+12,7.05296E+12,2.10039E+12,2.32565E+12,2.25358E+12,2.60357E+11,,"8,251,809,841,538",15062
202,NTL,XD,2004,364190288722,5553,27300,A&C,CNTP,20-03-2024,1.96265E+12,72682269197,2.03533E+12,5.73154E+11,5.62294E+11,10860233000,1.46218E+12,9.14024E+11,1.66503E+12,3E+11,1.72165E+11,1187112930,1.01007E+12,5000000,"1,335,406,295,286",23974
203,NVL,XD,1992,485864524898,311,17050,PWC,CNTP,31-03-2024,1.91155E+14,5.03316E+13,2.41486E+14,1.96184E+14,8.72827E+13,1.08901E+14,4.53029E+13,4.76995E+12,3.32493E+13,43507843256,4.7011E+13,2.83744E+12,1.39096E+14,3.45601E+13,"87,213,599,726,502",23231
204,NVT,DV,2006,35833221189,62,7880,Grant Thornton,CNTP,29-03-2024,1.40544E+11,9.38091E+11,1.07863E+12,5.40309E+11,1.3445E+11,4.05859E+11,5.38325E+11,3.7706E+11,7.1314E+11,1304900000,82477258453,9310889446,14447787061,10229976000,"958,446,480,995",5948
205,OGC,DV,2007,141260936288,287,7050,AASCN,CNTPGT,30-03-2024,6.1449E+11,4.15334E+12,4.76783E+12,3.21074E+12,7.12586E+11,2.49815E+12,1.5571E+12,9.99175E+11,2.115E+12,50611780230,99384724280,20875916647,3.41027E+11,6.48752E+11,"3,589,667,875,136",5190
206,OPC,SX,1997,122318809292,1634,24000,EY,CNTP,21-03-2024,9.27671E+11,3.33151E+11,1.26082E+12,3.76657E+11,3.71747E+11,4910708949,8.84164E+11,1.00896E+12,1.53722E+12,26838731723,2.35448E+11,2.51409E+11,3.75042E+11,3788660200,"1,242,956,155,622",13804
207,PAC,SX,1976,115202344188,2231,24250,KPMG,CNTP,1/3/2024,1.72619E+12,7.07319E+11,2.43351E+12,1.48904E+12,1.46742E+12,21614229301,9.44468E+11,3.59341E+12,1.12694E+12,5.0587E+11,2.98208E+11,2.26236E+11,6.46962E+11,5332346253,"2,056,441,519,230",20324
208,PAN,SX,1998,817117336270,1943,20200,EY,CNTP,29-03-2024,1.42808E+13,5.90736E+12,2.01881E+13,1.18447E+13,1.08657E+13,9.79016E+11,8.34345E+12,1.37166E+13,4.21967E+12,7.29128E+12,2.33244E+12,1.44911E+12,3.15727E+12,4237665454,"11,799,276,271,956",39941
209,PC1,XD,1963,303032989501,405,28800,KPMG,CNTP,29-03-2024,6.8684E+12,1.33664E+13,2.02348E+13,1.29644E+13,4.71462E+12,8.24978E+12,7.2704E+12,7.77524E+12,8.95667E+12,7.80833E+11,2.82123E+12,1.92817E+12,9.44433E+11,14779136760,"17,615,007,843,218",23378
210,PDN,VT,1989,294575464772,7337,94000,RSM,CNTP,1/3/2024,6.27952E+11,7.31354E+11,1.35931E+12,3.58844E+11,2.70613E+11,88230923575,1.00046E+12,1.16724E+12,3.48213E+12,2.9E+11,1.50581E+11,1.44909E+11,810820692,,"3,435,156,244,166",27007
211,PDR,XD,2004,682501990821,1003,27850,EY,CNTP,1/3/2024,1.69164E+13,4.15145E+12,2.10678E+13,1.14884E+13,9.17699E+12,2.31144E+12,9.57939E+12,6.17515E+11,2.05759E+13,15370299200,4.1148E+12,2.3115E+12,1.21996E+13,7.33227E+11,"21,305,462,483,872",12966
212,PET,BB,1996,138997251319,1013,27600,PWC,CNTP,29-03-2024,8.25919E+12,1.22028E+12,9.47948E+12,7.29322E+12,7.24074E+12,52479030083,2.18626E+12,1.74828E+13,2.94553E+12,2.59696E+12,2.36901E+12,2.39325E+12,1.91543E+12,28235218879,"6,400,016,094,299",20486
213,PGC,TI,2003,101908850555,1235,14750,KPMG,CNTP,29-03-2024,1.89554E+12,6.40382E+11,2.53592E+12,1.66695E+12,1.60129E+12,65667813018,8.68965E+11,3.62366E+12,8.90004E+11,1.20486E+12,4.15106E+11,3.69322E+11,1.75752E+11,181468408,"1,983,919,818,051",14401
214,PGD,TI,2002,265787886267,2555,38000,PWC,CNTP,26-02-2024,2.95515E+12,4.07782E+11,3.36293E+12,1.96141E+12,1.96132E+12,88000000,1.40152E+12,9.89069E+12,3.7619E+12,4.87499E+11,1.22851E+12,7.02838E+11,46714496401,3051853125,"2,626,746,746,040",14157
215,PGV,TI,2012,1083723307336,948,23200,Deloitte,CNTPGT,30-03-2024,1.69769E+13,4.18642E+13,5.88411E+13,4.307E+13,1.14799E+13,3.15901E+13,1.57711E+13,4.58622E+13,2.60645E+13,2.935E+12,9.97674E+12,9.11794E+12,3.09552E+12,3575246000,"61,564,565,525,690",14038
216,PHC,XD,2001,8413310629,177,6940,CPA VIETNAM,CNTP,19-03-2024,2.46835E+12,7.03723E+11,3.17207E+12,2.50253E+12,2.3605E+12,1.42029E+11,6.6954E+11,1.81061E+12,3.51733E+11,51949307274,1.60557E+12,1.23655E+12,6.40656E+11,560700000,"1,616,108,471,725",13211
217,PHR,SX,1982,661288002217,4309,49700,AASC,CNTP,6/3/2024,2.76156E+12,3.39897E+12,6.16053E+12,2.34629E+12,8.82868E+11,1.46343E+12,3.81424E+12,1.35361E+12,6.73431E+12,1.99749E+12,1.93008E+11,57745125359,3.2581E+11,215334517,"6,907,032,436,312",28149
218,PIT,BB,1999,-8951107257,-630,5800,CPA VIETNAM,CNTP,12/3/2024,2.17163E+11,68765753722,2.85929E+11,1.76549E+11,1.73922E+11,2626207666,1.0938E+11,7.0913E+11,82419305000,4029922558,53882517071,75626071353,1.03147E+11,605000000,"235,199,617,968",7697
219,PJT,VT,1999,18502630760,726,10500,AASCN,CNTP,29-02-2024,1.11352E+11,3.18279E+11,4.29631E+11,1.30702E+11,82864741420,47836943000,2.98929E+11,7.0691E+11,2.41928E+11,,19642561210,17767677074,48688584644,30650000,"285,490,489,274",12974
220,PLP,SX,2008,11079179871,158,4220,AFC,CNTP,29-03-2024,1.25781E+12,4.85592E+11,1.7434E+12,9.51912E+11,9.37988E+11,13924050941,7.91488E+11,1.80634E+12,2.95399E+11,47150000000,8.93488E+11,5.32176E+11,2.8822E+11,2752044340,"954,300,911,910",11307
221,PLX,BB,1956,3077319943400,1706,34500,KPMG,CNTP,29-03-2024,5.73069E+13,2.23687E+13,7.96756E+13,5.04735E+13,4.96606E+13,8.129E+11,2.92021E+13,2.74082E+14,4.38354E+13,1.64956E+13,1.09753E+13,1.00218E+13,1.46775E+13,28936190703,"49,569,325,290,853",22983
222,PMG,BB,2007,-24039200103,52,8300,AAC,CNTP,29-03-2024,7.50064E+11,1.02776E+12,1.77782E+12,1.14049E+12,1.05527E+12,85223990126,6.37329E+11,1.87672E+12,3.84591E+11,2.81001E+11,3.19867E+11,3.06811E+11,32900966655,23012083208,"840,966,435,593",13754
223,PNC,BL,1982,16779900393,1554,9000,A&C,CNTPGT,28-03-2024,4.94537E+11,33184461260,5.27722E+11,3.45478E+11,3.44716E+11,762231500,1.82244E+11,6.60739E+11,97194159000,45900000000,54564958410,35149192885,2.83192E+11,11415025434,"-45,007,723,250",16875
224,PNJ,BL,1988,1971099177135,5436,86000,KPMG,CNTP,26-03-2024,1.29581E+13,1.46944E+12,1.44276E+13,4.62138E+12,4.61196E+12,9420742000,9.80618E+12,3.34816E+13,2.8208E+13,8.101E+11,2.15036E+11,69277567110,1.09447E+13,1.04636E+11,"29,696,376,665,357",29897
225,POW,TI,2007,1282942141418,443,11250,Deloitte,CNTP,26-03-2024,2.9042E+13,4.13201E+13,7.03621E+13,3.62427E+13,2.67852E+13,9.4575E+12,3.41194E+13,2.83294E+13,2.63461E+13,2.39086E+12,1.45605E+13,1.27105E+13,2.1674E+12,442027000,"30,585,227,175,983",14569
226,PPC,TI,1982,380102277161,1186,14750,Deloitte,CNTPGT,30-03-2024,2.92924E+12,2.84868E+12,5.77792E+12,7.671E+11,7.671E+11,,5.01082E+12,5.81376E+12,4.72904E+12,1E+11,1.97802E+12,1.86553E+12,7.78129E+11,,"4,705,556,618,482",15629
227,PSH,BB,2012,47353873501,403,10300,TTP,CNNT,29-03-2024,6.12767E+12,4.86435E+12,1.0992E+13,9.40055E+12,6.70364E+12,2.69691E+12,1.59147E+12,6.1248E+12,1.29955E+12,10000000,1.4461E+12,1.07366E+12,4.6545E+12,12932802186,"7,358,285,739,134",12614
228,PTB,SX,2004,259467307655,3808,59000,AASC,CNTPGT,2/4/2024,2.94114E+12,2.32264E+12,5.26378E+12,2.48706E+12,2.35243E+12,1.3463E+11,2.77672E+12,5.61881E+12,3.94937E+12,19642998519,8.81107E+11,8.01306E+11,1.47157E+12,26986388966,"5,254,936,513,083",41482
229,PTC,XD,1976,14021129703,311,6020,A&C,CNTP,25-03-2024,1.73302E+11,9.82906E+11,1.15621E+12,6.3431E+11,1.92136E+11,4.42174E+11,5.21898E+11,1.07718E+11,1.93794E+11,81500476267,54009908344,39351404533,,58938000,"641,823,552,944",16212
230,PTL,XD,2006,2385512377,25,4030,VACO,CNTP,15-03-2024,4.03551E+11,2.41315E+11,6.44867E+11,1.58143E+11,1.40282E+11,17861604410,4.86723E+11,20096294018,3.98426E+11,20500000000,2.55419E+11,40151530360,82281264417,82594895910,"379,477,799,979",4923
231,PVD,KK,2001,545942180784,810,28300,Deloitte,CNTPGT,29-03-2024,6.92788E+12,1.4705E+13,2.16328E+13,6.73469E+12,3.14614E+12,3.58855E+12,1.48982E+13,5.80441E+12,1.57314E+13,1.27822E+12,2.31396E+12,1.71932E+12,1.13748E+12,1.03903E+11,"16,816,558,180,820",26801
232,PVP,VT,2008,188077615457,1875,13950,Deloitte,CNTP,29-02-2024,1.22803E+12,1.48611E+12,2.71414E+12,9.82495E+11,4.53095E+11,5.294E+11,1.73165E+12,1.66118E+12,1.31514E+12,8.75099E+11,2.2524E+11,1.85783E+11,13662305251,710102000,"1,802,731,831,977",18368
